[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652354753.531,,9.000000e+003,9.995975e+000,1.054915e-001,1.895028e-005,3,9.926121e-001,1.796379e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.827354e-003,0.000000e+000,0,0,0,
1652354880.828,,9.500000e+003,1.000034e+001,1.111367e-001,1.512545e-005,3,9.926455e-001,1.360977e-002,,,,,,,,,,,,,,32,2,4.000000e+000,4.812241e-003,0.000000e+000,0,1,0,
1652355003.031,,1.000000e+004,9.998024e+000,1.167321e-001,7.265065e-006,3,9.927350e-001,6.223706e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.416061e-003,0.000000e+000,0,1,0,
1652355128.781,,1.200000e+004,9.997255e+000,1.389147e-001,3.053539e-005,3,9.925942e-001,2.198139e-002,,,,,,,,,,,,,,32,2,4.000000e+000,5.464554e-003,0.000000e+000,0,1,0,
1652355258.078,,1.400000e+004,9.997085e+000,1.605938e-001,4.102996e-005,3,9.924997e-001,2.554891e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.827354e-003,0.000000e+000,0,0,0,
1652355393.406,,1.600000e+004,9.996231e+000,1.818438e-001,2.324399e-005,3,9.925581e-001,1.278239e-002,,,,,,,,,,,,,,32,2,4.000000e+000,7.513046e-003,0.000000e+000,0,0,0,
1652355528.484,,1.800000e+004,9.994864e+000,2.027501e-001,2.111557e-005,3,9.925530e-001,1.041458e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.828308e-003,0.000000e+000,0,0,0,
1652355664.500,,2.000000e+004,9.998373e+000,2.233237e-001,3.445505e-005,3,9.925488e-001,1.542830e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.569717e-003,0.000000e+000,0,1,0,
1652355794.609,,2.200000e+004,9.996914e+000,2.436430e-001,5.109252e-005,3,9.925092e-001,2.097023e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.147385e-003,0.000000e+000,0,1,0,
1652355932.265,,2.400000e+004,9.997426e+000,2.636778e-001,5.759367e-005,3,9.925005e-001,2.184244e-002,,,,,,,,,,,,,,32,2,4.000000e+000,6.149292e-003,0.000000e+000,0,1,0,
